,date_time,mem.total,mem.free,mem.unit,mem.usage,cpu.total,cpu.busy,cpu.idle,cpu.usage,disk.used,disk.free,disk.usedProc,net.interface,net.tx,net.rx,net.unit,uptime.days,uptime.minutes,uptime.seconds,uptime.hours
162,2024-01-19 08:42:18,1983,1450,Mb,17,949516,169665,779851,13.0,6518760,44085072,12,eth0,46742,322932,bps,11,54.0,53.0,
163,2024-01-19 08:42:29,1983,1444,Mb,17,949527,169666,779860,38.0,6518776,44085056,12,eth0,13472,405732,bps,11,55.0,4.0,
164,2024-01-19 08:42:40,1983,1465,Mb,16,949538,169668,779869,5.0,6518788,44085044,12,eth0,50692,728747,bps,11,55.0,15.0,
165,2024-01-19 08:42:51,1983,1450,Mb,17,949549,169671,779878,2.0,6518812,44085020,12,eth0,36814,580776,bps,11,55.0,26.0,
166,2024-01-19 08:43:02,1983,1443,Mb,17,949560,169672,779887,59.0,6518872,44084960,12,eth0,24259,664465,bps,11,55.0,37.0,
167,2024-01-19 08:43:13,1983,1463,Mb,16,949570,169674,779896,6.0,6518844,44084988,12,eth0,43643,1205443,bps,11,55.0,48.0,
168,2024-01-19 08:43:24,1983,1451,Mb,17,949581,169676,779905,2.0,6518860,44084972,12,eth0,45598,981403,bps,11,55.0,59.0,
169,2024-01-19 08:43:35,1983,1452,Mb,17,949592,169679,779913,10.0,6518880,44084952,12,eth0,37998,695377,bps,11,56.0,10.0,
170,2024-01-19 08:43:46,1983,1461,Mb,16,949603,169680,779923,7.0,6518896,44084936,12,eth0,37043,478840,bps,11,56.0,21.0,
171,2024-01-19 08:43:57,1983,1450,Mb,17,949614,169682,779931,2.0,6518916,44084916,12,eth0,40620,62888,bps,11,56.0,32.0,
172,2024-01-19 08:44:08,1983,1452,Mb,17,949625,169684,779940,3.0,6518928,44084904,12,eth0,61401,2272417,bps,11,56.0,43.0,
173,2024-01-19 08:44:19,1983,1433,Mb,18,949636,169686,779950,47.0,6518940,44084892,12,eth0,34169,896561,bps,11,56.0,54.0,
174,2024-01-19 08:44:30,1983,1466,Mb,16,949647,169688,779958,4.0,6518952,44084880,12,eth0,36038,599236,bps,11,57.0,5.0,
175,2024-01-19 08:44:41,1983,1447,Mb,17,949658,169690,779967,3.0,6518968,44084864,12,eth0,57056,762697,bps,11,57.0,16.0,
176,2024-01-19 08:44:52,1983,1440,Mb,17,949668,169692,779976,63.0,6519112,44084720,12,eth0,31459,544660,bps,11,57.0,27.0,
177,2024-01-19 08:45:03,1983,1462,Mb,16,949679,169694,779985,5.0,6519004,44084828,12,eth0,40902,509448,bps,11,57.0,38.0,
178,2024-01-19 08:45:14,1983,1448,Mb,17,949690,169696,779993,2.0,6519020,44084812,12,eth0,47011,494867,bps,11,57.0,49.0,
179,2024-01-19 08:45:25,1983,1442,Mb,17,949701,169697,780003,45.0,6519040,44084792,12,eth0,26436,871384,bps,11,58.0,,
180,2024-01-19 08:45:37,1983,1452,Mb,17,949712,169700,780012,3.0,6519056,44084776,12,eth0,51033,400918,bps,11,58.0,11.0,
